iter	RMSE
180	5920.133882
181	5912.55896
182	5904.744776
183	5899.011952
184	5893.80961
185	5887.157908
186	5882.358161
187	5877.475669
188	5866.663298
189	5862.274519
190	5858.138035
191	5853.466121
192	5846.626614
193	5842.329193
194	5836.692251
195	5831.554298
196	5821.931403
197	5818.205858
198	5812.131756
199	5807.422386
200	5802.646503
201	5795.22387
202	5790.652194
203	5785.235209
204	5779.844481
205	5775.199848
206	5770.851021
207	5767.200342
208	5763.039199
209	5756.343404
210	5753.02908
211	5748.669406
212	5745.798589
213	5741.832116
214	5736.929663
215	5731.924363
216	5728.040501
217	5721.914325
218	5717.605126
219	5712.173162
220	5708.323725
221	5703.240183
222	5699.843366
223	5693.581396
224	5689.372791
225	5687.456308
226	5680.536699
227	5674.956668
228	5671.169913
229	5668.283679
230	5662.032099
231	5657.62708
232	5654.525687
233	5648.034517
234	5644.010292
235	5639.386345
236	5636.399042
237	5631.412436
238	5627.709929
239	5624.573328
240	5618.795742
241	5614.165224
242	5611.437532
243	5607.774364
244	5604.601348
245	5600.645389
246	5594.926945
247	5589.384909
248	5585.826189
249	5582.703021
250	5574.590027
251	5568.415182
252	5564.672175
253	5561.799768
254	5557.783516
255	5553.922595
256	5549.252
257	5544.801706
258	5536.729292
259	5533.629938
260	5530.903108
261	5526.428901
262	5520.697774
263	5517.267805
264	5514.660639
265	5510.369794
266	5508.112262
267	5505.31115
268	5501.10368
269	5496.886137
270	5493.248056
271	5489.73343
272	5483.646805
273	5480.394499
274	5476.394574
275	5474.238162
276	5472.219646
277	5468.035174
278	5465.495209
279	5463.372188
280	5460.319185
281	5456.732713
282	5452.645196
283	5448.630004
284	5444.973803
285	5439.256292
286	5435.407903
287	5430.596965
288	5426.66899
289	5422.197932
290	5417.733226
291	5414.032683
292	5409.401344
293	5407.292345
294	5404.819337
295	5401.544992
296	5396.727616
297	5394.815069
298	5393.159613
299	5389.819698
300	5386.397202
301	5379.26064
302	5376.771889
303	5373.163815
304	5369.51911
305	5366.966172
306	5363.792435
307	5359.791268
308	5357.349709
309	5354.582402
310	5348.761888
311	5345.843377
312	5341.438972
313	5339.377302
314	5335.172542
315	5331.920566
316	5329.046502
317	5326.005399
318	5323.483141
319	5319.433201
320	5316.560774
321	5313.776408
322	5310.433677
323	5307.767758
324	5304.33174
325	5301.091117
326	5297.449372
327	5294.851135
328	5293.403827
329	5288.924888
330	5286.061519
331	5283.123834
332	5281.744478
333	5279.078952
334	5275.574879
335	5272.231394
336	5269.791948
337	5266.771727
338	5264.338085
339	5261.683294
340	5259.563946
341	5254.96252
342	5251.567633
343	5249.422148
344	5245.069968
345	5242.960176
346	5239.223658
347	5236.405213
348	5232.690696
349	5230.005143
350	5227.952137
351	5225.253912
352	5220.627969
353	5218.230742
354	5215.128478
355	5213.49519
356	5211.448536
357	5208.251659
358	5204.470645
359	5202.015394
360	5199.332878
361	5196.172578
362	5193.436964
363	5189.245263
364	5186.893337
365	5183.275117
366	5180.017961
367	5177.14661
368	5174.149019
369	5172.345513
370	5169.236644
371	5166.772522
372	5163.069861
373	5159.184645
374	5157.029336
375	5153.474376
376	5150.976704
377	5148.562589
378	5144.766725
379	5141.879148
380	5138.439325
381	5135.287067
382	5133.178285
383	5131.3155
384	5128.666832
385	5125.797923
386	5122.379356
387	5119.856498
388	5117.695512
389	5116.032479
390	5112.057318
391	5110.197713
392	5108.46256
393	5105.946597
394	5101.753153
395	5098.702524
396	5096.248929
397	5093.524952
398	5089.632081
399	5086.738879
400	5084.436968
401	5081.278675
402	5080.036289
403	5076.520761
404	5075.388765
405	5072.028865
406	5068.874119
407	5065.716734
408	5062.387764
409	5059.253492
410	5057.633957
411	5054.41689
412	5052.773237
413	5050.773004
414	5048.251205
415	5044.968272
416	5044.224463
417	5042.000766
418	5038.873049
419	5036.542794
420	5034.754167
421	5032.966149
422	5030.194273
423	5025.936489
424	5024.230664
425	5021.861766
426	5019.794275
427	5017.579577
428	5015.179913
429	5013.882626
430	5011.833074
431	5008.647532
432	5005.560807
433	5004.062944
434	4997.551557
435	4994.970034
436	4992.64569
437	4990.910666
438	4989.095777
439	4986.589863
440	4984.39171
441	4981.341623
442	4978.337775
443	4976.395284
444	4974.186016
445	4972.071714
446	4971.118164
447	4969.702035
448	4967.82978
449	4965.517242
450	4963.499483
451	4962.026622
452	4959.822703
453	4956.416142
454	4953.78459
455	4951.773766
456	4948.88641
457	4944.528117
458	4942.124362
459	4940.590835
460	4938.05168
461	4935.66937
462	4932.726665
463	4927.810349
464	4924.907027
465	4923.72841
466	4920.88106
467	4919.346975
468	4915.678451
469	4913.707904
470	4911.746582
471	4909.596374
472	4906.408153
473	4902.767555
474	4901.805266
475	4899.025076
476	4895.80838
477	4893.374686
478	4891.396577
479	4888.76471
480	4886.781625
481	4882.683034
482	4880.322556
483	4878.337174
484	4875.373255
485	4872.597706
486	4869.72177
487	4867.765372
488	4865.98963
489	4862.709698
490	4860.535592
491	4856.576049
492	4854.172223
493	4851.035285
494	4847.319898
495	4844.929178
496	4843.831436
497	4840.921477
498	4839.334362
499	4838.195771
500	4836.666601
501	4834.61634
502	4833.099621
503	4831.086748
504	4830.477404
505	4826.689522
506	4824.45984
507	4823.212171
508	4820.410663
509	4818.857866
510	4817.208348
511	4815.570546
512	4812.776643
513	4810.566953
514	4809.212575
515	4807.35006
516	4805.068878
517	4803.138218
518	4802.340365
519	4799.994435
520	4798.926162
521	4797.241695
522	4794.598515
523	4791.441819
524	4789.417463
525	4786.016583
526	4782.947861
527	4781.795193
528	4779.573138
529	4775.829018
530	4774.457325
531	4772.634395
532	4769.221114
533	4767.05833
534	4763.723624
535	4763.193361
536	4761.020794
537	4758.330898
538	4757.153336
539	4754.732768
540	4752.321487
541	4750.171816
542	4748.674837
543	4745.343193
544	4743.218
545	4741.254305
546	4738.535435
547	4735.742718
548	4732.14208
549	4730.093529
550	4728.793271
551	4727.023407
552	4724.227887
553	4722.953457
554	4720.134799
555	4717.792511
556	4715.284416
557	4712.467332
558	4709.423079
559	4706.58165
560	4704.855834
561	4702.003259
562	4700.441601
563	4697.205894
564	4694.83889
565	4693.694588
566	4691.366145
567	4690.256739
568	4688.876659
569	4686.503869
570	4684.28107
571	4682.005191
572	4679.139434
573	4677.164578
574	4674.021708
575	4672.363415
576	4671.772048
577	4669.895935
578	4668.63799
579	4666.307748
580	4665.506093
581	4663.837775
582	4662.042757
583	4658.524018
584	4657.329394
585	4654.913586
586	4652.9174
587	4649.872895
588	4648.346138
589	4646.418109
590	4644.324108
591	4642.139246
592	4640.211917
593	4638.678181
594	4635.894694
595	4633.268432
596	4629.672424
597	4627.562429
598	4626.452758
599	4624.631474
600	4621.58212
601	4619.952988
602	4618.203129
603	4617.185475
604	4616.29671
605	4615.163721
606	4612.429866
607	4609.277048
608	4607.912126
609	4605.821375
610	4603.966526
611	4601.922747
612	4600.605996
613	4599.279476
614	4596.230057
615	4593.701326
616	4590.823942
617	4588.751131
618	4587.330638
619	4586.018302
620	4584.587307
621	4582.983873
622	4579.949231
623	4578.534468
624	4576.529333
625	4575.664069
626	4573.419181
627	4572.372529
628	4570.910018
629	4569.000022
630	4566.553192
631	4564.153929
632	4561.759471
633	4559.219212
634	4557.193547
635	4554.76587
636	4553.858578
637	4552.340658
638	4550.752211
639	4549.550639
640	4547.770744
641	4545.858618
642	4543.866304
643	4542.258089
644	4540.89808
645	4538.463247
646	4536.432394
647	4534.2232
648	4532.770733
649	4531.318285
650	4529.165635
651	4528.226808
652	4527.466967
653	4525.776045
654	4524.373308
655	4522.103326
656	4520.654563
657	4519.107265
658	4517.328621
659	4514.652709
660	4512.401609
661	4510.448144
662	4508.42499
663	4505.738015
664	4503.779586
665	4501.96002
666	4499.737615
667	4497.800838
668	4495.961876
669	4494.400237
670	4493.263121
671	4491.563871
672	4490.753911
673	4488.904437
674	4487.817656
675	4486.129691
676	4484.190514
677	4483.715333
678	4481.68834
679	4481.528322
680	4479.637704
681	4479.165504
682	4477.687934
683	4476.07646
684	4474.345119
685	4471.800276
686	4469.699844
687	4468.141531
688	4467.036103
689	4465.57965
690	4464.364887
691	4462.743337
692	4460.804231
693	4460.059828
694	4457.166753
695	4455.877256
696	4454.245434
697	4451.121199
698	4449.5622
699	4447.792398
700	4445.907188
701	4443.827152
702	4441.755161
703	4438.974104
704	4438.007162
705	4436.761587
706	4435.614629
707	4434.109877
708	4432.962452
709	4431.126597
710	4428.780763
711	4426.949855
712	4425.020992
713	4422.35418
714	4420.214265
715	4418.491454
716	4417.453496
717	4416.485828
718	4414.51825
719	4412.884501
720	4410.972547
721	4408.74773
722	4407.128726
723	4405.421822
724	4403.993488
725	4401.978029
726	4400.674405
727	4399.248386
728	4398.363039
729	4396.374599
730	4394.616478
731	4392.826362
732	4390.787136
733	4389.441992
734	4388.726916
735	4386.406677
736	4385.447019
737	4383.388436
738	4381.781223
739	4380.562029
740	4378.6344
741	4377.110242
742	4373.967889
743	4372.151301
744	4369.920275
745	4368.127332
746	4365.935301
747	4364.39257
748	4363.381562
749	4362.304499
750	4359.990539
751	4357.706116
752	4356.674784
753	4355.127042
754	4352.725525
755	4351.08576
756	4350.060307
757	4347.751009
758	4344.759114
759	4342.699653
760	4340.959307
761	4339.77417
762	4338.530897
763	4336.808108
764	4335.641161
765	4334.873855
766	4333.464541
767	4332.007741
768	4330.397866
769	4328.989756
770	4327.194915
771	4326.037619
772	4324.15078
773	4322.103686
774	4320.058815
775	4317.903081
776	4316.520234
777	4314.254961
778	4313.131275
779	4312.486516
780	4311.003587
781	4310.422754
782	4309.204267
783	4307.265501
784	4305.183803
785	4303.434958
786	4301.503859
787	4300.326663
788	4299.097037
789	4298.538679
790	4296.318229
791	4295.707363
792	4294.724513
793	4294.24257
794	4292.686827
795	4290.32013
796	4289.202157
797	4285.957386
798	4284.519222
799	4283.585814
800	4282.389323
801	4280.864976
802	4278.839061
803	4276.735117
804	4274.498656
805	4273.649446
806	4272.425573
807	4271.383519
808	4270.037855
809	4268.038203
810	4266.857928
811	4265.681319
812	4264.4387
813	4262.898131
814	4260.460183
815	4258.325705
816	4257.25546
817	4255.767678
818	4254.023228
819	4252.800282
820	4251.803179
821	4250.684263
822	4248.643166
823	4245.995393
824	4244.962421
825	4244.441316
826	4243.304678
827	4241.561402
828	4239.398032
829	4238.998253
830	4236.785905
831	4235.289942
832	4233.071871
833	4231.950549
834	4230.803692
835	4229.912521
836	4228.736442
837	4227.470545
838	4226.352686
839	4225.762017
840	4223.601589
841	4223.227836
842	4222.224041
843	4219.895301
844	4218.298937
845	4216.197153
846	4215.356405
847	4214.046952
848	4212.224379
849	4210.827649
850	4209.317765
851	4207.769568
852	4206.161996
853	4205.236139
854	4204.373273
855	4203.12612
856	4201.938953
857	4200.112532
858	4197.458208
859	4195.060749
860	4193.042455
861	4191.672937
862	4190.003026
863	4188.751007
864	4187.107459
865	4185.303719
866	4183.996072
867	4183.086968
868	4182.005848
869	4179.927284
870	4178.746502
871	4177.0284
872	4176.118662
873	4174.709059
874	4173.256485
875	4172.330072
876	4172.018049
877	4169.446193
878	4167.624965
879	4166.874546
880	4165.417537
881	4164.840219
882	4163.605442
883	4162.219618
884	4161.025277
885	4160.196862
886	4158.446801
887	4156.781975
888	4155.134689
889	4154.530538
890	4152.329408
891	4150.788735
892	4148.920724
893	4148.099821
894	4146.72255
895	4145.568245
896	4144.983207
897	4143.965547
898	4142.747977
899	4140.834989
900	4139.674583
901	4138.331559
902	4135.801742
903	4133.908634
904	4131.528587
905	4130.664747
906	4129.592067
907	4128.580456
908	4127.220145
909	4125.955709
910	4124.025328
911	4121.50507
912	4120.365534
913	4117.991151
914	4117.220985
915	4116.245237
916	4114.29882
917	4112.424457
918	4111.725901
919	4111.060802
920	4110.494099
921	4108.145434
922	4106.94151
923	4105.99963
924	4105.294241
925	4103.82436
926	4102.909122
927	4101.717071
928	4099.930518
929	4098.588784
930	4096.528765
931	4094.223698
932	4092.779868
933	4091.698965
934	4091.168666
935	4090.34975
936	4088.682426
937	4087.087287
938	4085.127677
939	4084.082654
940	4082.265967
941	4080.559198
942	4079.894431
943	4078.633837
944	4077.706641
945	4076.688892
946	4075.962671
947	4075.407949
948	4073.932502
949	4072.331597
950	4071.636787
951	4070.8251
952	4069.629087
953	4069.241219
954	4068.479774
955	4067.982932
956	4066.489947
957	4065.753867
958	4063.931812
959	4062.324143
960	4060.645216
961	4059.03775
962	4058.254353
963	4056.823978
964	4056.104548
965	4054.470401
966	4053.754902
967	4052.76893
968	4050.776908
969	4050.34118
970	4048.574349
971	4046.309521
972	4045.524068
973	4043.829923
974	4043.316391
975	4042.626107
976	4040.68713
977	4039.20255
978	4037.875271
979	4037.129269
980	4036.271631
981	4034.715016
982	4033.928379
983	4032.691412
984	4031.986962
985	4030.466975
986	4029.357383
987	4028.024595
988	4027.52692
989	4026.351291
990	4025.093346
991	4023.881197
992	4023.06855
993	4022.407129
994	4020.290074
995	4018.415658
996	4017.602265
997	4016.828625
998	4015.559704
999	4014.007542
